"id","total","step1","step2","step3","step4","step5","step6"
"229","30.817997932434082","0.001","1.043","0.001","14.659","15.112","0.0"
"230","20.934519052505493","0.001","1.031","0.001","12.945","6.955","0.001"
"231","27.691679000854492","0.0","0.924","0.001","6.305","20.46","0.001"
"232","15.262213230133057","0.0","0.994","0.001","6.343","7.922","0.0"
"233","19.298128604888916","0.001","1.016","0.001","10.389","7.89","0.001"
"234","43.44706845283508","0.0","0.817","0.001","13.084","29.543","0.001"
"241","21.701568126678467","0.001","0.812","0.001","5.95","14.937","0.0"
"242","27.715563535690308","0.001","1.074","0.001","21.423","5.216","0.001"
"243","81.20903038978577","0.0","0.918","0.001","10.157","70.131","0.0"
"244","34.435648679733276","0.001","0.95","0.001","9.298","24.185","0.0"
"245","122.09687209129333","0.001","0.986","0.001","40.444","80.663","0.0"
"246","35.99173831939697","0.0","1.076","0.001","15.709","19.204","0.0"
"247","36.751946210861206","0.001","1.204","0.001","6.739","28.806","0.0"
"248","12.9118013381958","0.001","0.997","0.001","4.875","7.036","0.0"
"249","46.07600259780884","0.0","0.91","0.001","31.322","13.841","0.0"
"250","213.17835235595703","0.001","1.047","0.001","37.667","174.461","0.0"
"251","44.309739112854004","0.001","0.933","0.001","7.925","35.449","0.0"
"252","21.28989005088806","0.001","0.871","0.001","11.059","9.357","0.0"
"253","47.30181384086609","0.001","0.983","0.001","15.983","30.333","0.001"
"254","41.67987585067749","0.0","0.867","0.001","6.496","34.314","0.0"
"255","77.08454489707947","0.001","0.979","0.001","17.324","58.778","0.0"
"256","126.851487159729","0.001","0.865","0.001","25.588","100.396","0.0"
"257","152.4788155555725","0.001","0.816","0.001","8.912","142.748","0.0"
"258","26.950735330581665","0.001","0.966","0.001","11.349","14.633","0.0"
"259","103.25256729125977","0.001","0.905","0.001","10.223","92.121","0.001"
"260","51.94970393180847","0.001","0.903","0.001","28.689","22.355","0.0"
"261","79.98215579986572","0.001","0.878","0.001","23.959","55.142","0.0"
"262","28.87566375732422","0.0","1.001","0.001","16.336","11.537","0.0"
"263","69.7175121307373","0.001","0.994","0.001","10.588","58.132","0.001"
"264","37.975101947784424","0.001","0.898","0.001","11.71","25.364","0.001"
"265","39.10609173774719","0.001","0.814","0.001","9.161","29.127","0.0"
"266","104.74894905090332","0.0","0.937","0.001","15.989","87.82","0.0"
"267","27.854408740997314","0.001","0.966","0.001","9.122","17.763","0.001"
"268","82.53750371932983","0.001","0.837","0.001","4.841","76.857","0.0"
"269","15.654281377792358","0.001","0.863","0.001","6.39","8.398","0.0"
"270","57.00536298751831","0.001","0.997","0.001","16.196","39.81","0.0"
"271","26.920799493789673","0.001","1.091","0.001","11.956","13.87","0.0"
"272","52.85644578933716","0.001","0.869","0.001","16.484","35.501","0.0"
"273","13.002673864364624","0.001","0.94","0.001","2.401","9.658","0.001"
"274","28.325567483901978","0.001","1.028","0.001","17.903","9.392","0.0"
"275","10.507848262786865","0.001","0.932","0.001","3.899","5.674","0.0"
"276","34.35322165489197","0.001","0.969","0.001","16.9","16.482","0.0"
"277","28.065022230148315","0.0","1.019","0.001","12.476","14.568","0.0"
"278","57.89802050590515","0.001","0.857","0.001","22.188","34.849","0.0"
"279","15.657902002334595","0.0","1.034","0.001","5.755","8.866","0.001"
"280","122.79487609863281","0.001","0.914","0.001","21.122","100.756","0.0"
"281","14.158050775527954","0.0","0.011","0.001","10.633","3.511","0.0"
"282","25.874715089797974","0.001","0.999","0.001","7.809","17.063","0.0"
"283","30.307783365249634","0.0","0.9","0.001","9.218","20.187","0.0"
"284","13.551228046417236","0.0","0.014","0.001","6.807","6.727","0.001"
"285","55.50813603401184","16.705","5.906","0.001","18.51","14.384","0.0"
"286","34.13752746582031","0.001","0.993","0.001","13.119","20.023","0.0"
"287","52.30951929092407","0.0","1.205","0.001","20.734","30.367","0.0"
"288","21.723292350769043","0.001","0.856","0.001","10.55","10.315","0.0"
"289","19.1142156124115","0.0","0.745","0.001","7.697","10.669","0.001"
"290","44.087032079696655","0.001","0.967","0.001","6.131","36.987","0.0"
"291","37.2641236782074","0.001","0.87","0.001","10.238","26.153","0.0"
"292","148.1115870475769","0.001","0.822","0.001","6.57","140.717","0.0"
"293","94.40273356437683","0.001","0.819","0.001","7.932","85.647","0.0"
"294","80.105393409729","0.0","0.804","0.001","7.605","71.693","0.0"
"295","27.46317744255066","0.001","0.773","0.001","17.362","9.325","0.0"
"296","21.304547548294067","0.0","0.898","0.001","12.02","8.384","0.0"
"297","52.291648149490356","0.001","0.965","0.001","5.832","45.492","0.0"
"298","45.519224643707275","0.001","1.092","0.001","15.921","28.503","0.001"
"299","17.667693376541138","0.0","0.847","0.001","7.65","9.168","0.0"
"300","18.014755487442017","0.001","0.994","0.001","6.902","10.115","0.0"
"301","47.500444173812866","0.0","0.956","0.001","9.076","37.465","0.0"
"302","11.997350215911865","0.001","0.841","0.001","5.178","5.975","0.001"
"303","98.55085277557373","0.001","0.769","0.001","25.329","72.45","0.0"
"304","66.61114048957825","0.0","1.001","0.001","21.288","44.319","0.001"
"305","12.29938817024231","0.001","0.827","0.001","7.52","3.95","0.0"
"306","52.70831823348999","0.001","1.067","0.001","17.447","34.191","0.0"
"307","45.80984091758728","0.001","1.863","0.001","3.962","39.982","0.0"
"308","47.04777765274048","0.0","0.849","0.001","12.445","33.751","0.0"
"309","24.458014726638794","0.001","1.896","0.001","10.826","11.734","0.0"
"310","77.9222183227539","0.001","0.918","0.001","29.71","47.292","0.0"
"311","20.305274963378906","0.0","0.935","0.001","8.673","10.694","0.0"
"312","86.75213599205017","0.001","0.814","0.001","13.267","72.669","0.0"
"313","52.125154972076416","0.001","0.971","0.001","19.822","31.329","0.0"
"314","44.21779799461365","0.001","0.791","0.001","16.843","26.581","0.0"
"315","44.14671730995178","0.001","1.899","0.001","38.711","3.533","0.0"
"316","27.23193669319153","0.001","1.02","0.001","13.0","13.209","0.0"
"317","103.98143243789673","0.001","0.902","0.001","6.218","96.857","0.0"
"318","37.032341957092285","0.001","0.975","0.001","21.77","14.284","0.0"
"319","102.26352071762085","0.001","0.898","0.001","14.252","87.111","0.0"
"320","33.00448155403137","0.001","0.898","0.001","21.336","10.768","0.001"
"321","34.407578229904175","0.001","0.955","0.001","18.039","15.41","0.0"
"322","100.66220283508301","0.001","1.78","0.001","28.828","70.052","0.0"
"323","85.90737414360046","0.001","1.017","0.001","15.745","69.142","0.0"
"324","99.5906012058258","0.001","1.094","0.001","8.371","90.123","0.0"
"325","187.8819079399109","0.0","0.977","0.001","10.355","176.546","0.0"
"326","19.23525857925415","0.001","0.884","0.001","13.34","5.009","0.0"
"327","99.42261075973511","0.001","0.868","0.001","12.756","85.796","0.0"
"328","33.19938135147095","0.001","0.963","0.001","12.328","19.905","0.001"
"329","26.344141244888306","0.0","0.91","0.001","14.425","11.007","0.0"
"330","15.288651704788208","0.001","0.983","0.001","4.123","10.178","0.0"
"331","41.33598828315735","0.001","0.837","0.001","10.44","30.057","0.0"
"332","48.61517024040222","0.0","0.905","0.001","6.255","41.451","0.0"
"333","16.436870574951172","0.001","0.973","0.001","12.17","3.29","0.0"
"334","48.12946581840515","0.001","0.855","0.001","10.899","36.372","0.0"
"344","158.81554555892944","0.001","0.915","0.001","22.859","135.039","0.0"
"345","27.85229778289795","0.001","0.949","0.001","7.59","19.31","0.0"
"346","81.88783240318298","0.001","0.904","0.001","5.611","75.369","0.0"
"347","85.58565211296082","0.001","0.813","0.001","11.601","73.168","0.0"
"348","327.5946271419525","0.001","0.979","0.001","20.192","306.421","0.001"
"349","15.843887567520142","0.0","0.854","0.001","5.199","9.788","0.0"
"350","10.796397686004639","0.001","0.839","0.001","3.555","6.399","0.0"
"351","27.96919274330139","0.001","0.93","0.001","5.131","21.905","0.001"
"352","185.0504310131073","0.001","0.853","0.001","21.238","162.956","0.0"
"353","65.05172181129456","0.001","1.043","0.002","17.075","46.929","0.0"
"354","22.600017786026","0.0","0.963","0.001","8.601","13.033","0.0"
"355","17.919512271881104","0.0","1.014","0.001","3.757","13.146","0.0"
"356","36.07015585899353","0.001","1.043","0.001","14.966","20.057","0.001"
"357","18.411424160003662","0.001","1.009","0.001","13.405","3.994","0.0"
"358","40.61563324928284","0.001","1.025","0.001","13.329","26.258","0.001"
"359","149.17320466041565","0.001","1.035","0.001","10.229","137.905","0.0"
"360","124.7628231048584","0.001","0.967","0.001","12.237","111.555","0.001"
"361","38.51754403114319","0.001","1.095","0.001","21.812","15.608","0.001"
"362","61.86917066574097","0.001","1.073","0.001","21.282","39.512","0.0"
"363","223.64333534240723","0.001","1.061","0.001","27.239","195.338","0.001"
"364","36.73604941368103","0.001","0.817","0.001","5.983","29.933","0.0"
"365","133.8106667995453","0.001","0.839","0.001","8.509","124.46","0.0"
"366","35.6500768661499","0.0","1.073","0.001","19.77","14.805","0.0"
"367","26.873440265655518","0.0","0.905","0.001","11.232","14.733","0.001"
"368","92.70730090141296","0.0","1.031","0.001","22.292","69.38","0.0"
